STATEFP,STATE,SLDUST,GEOID,NAMELSAD,Area,Perimeter,Polsby-Popper,Schwartzberg Radius,Schwartsberg Perimeter,Schwartzberg,Convex Hull Area,Area/Convex Hull,MBC Area,Reock
47,TN,002,47002,State Senate District 2,2613723621.8200,359838.1994420,25.36615431220,28843.97287680,181231.8735000,50.36482335140,3272665578.6300,79.86528287180,5214287808.210,50.12618632
47,TN,003,47003,State Senate District 3,1999089705.0000,283311.8011860,31.29770188030,25225.59323300,158496.9428900,55.94434902690,2589360542.8900,77.20399194660,4149325165.280,48.17867064
47,TN,004,47004,State Senate District 4,2135449412.5700,300033.8074980,29.80975442240,26071.73246280,163813.3879760,54.59830988450,2690956555.8000,79.35651759100,6538048492.880,32.66187785
47,TN,005,47005,State Senate District 5,1763474225.8900,420570.4818150,12.52855655570,23692.44086770,148863.8706110,35.39570108880,3297227468.6700,53.48354769720,6614911093.460,26.65907676
47,TN,006,47006,State Senate District 6,848295626.5490,254466.0901620,16.46254181940,16432.31914290,103247.2189920,40.57405799190,1264720856.4600,67.07374376060,2515479589.750,33.72301767
47,TN,007,47007,State Senate District 7,283919071.1310,199840.8283110,8.93378754870,9506.54109301,59731.3088648,29.88944219740,498585302.0790,56.94493398560,1099076121.900,25.8325211
47,TN,008,47008,State Senate District 8,5253960924.5000,512029.4225560,25.18294406590,40894.85440120,256949.7312770,50.18261059970,6755049393.9700,77.77827545110,12247297491.900,42.89894099
47,TN,009,47009,State Senate District 9,4765487954.9900,548043.1993750,19.93826148640,38947.44163400,244713.7863260,44.65228044160,6053796282.3500,78.71900098260,7797378592.080,61.11653934
47,TN,010,47010,State Senate District 10,937772652.2660,347955.0250760,9.73331626169,17277.22658140,108555.9245120,31.19826319170,1845794526.5900,50.80590709080,4319344145.700,21.71099641
47,TN,011,47011,State Senate District 11,1163241191.4100,218540.4340260,30.60664083800,19242.43965810,120903.7120110,55.32326891810,1369991705.1100,84.90863025460,2182150449.100,53.30710318
47,TN,012,47012,State Senate District 12,7662879208.5200,690531.6136000,20.19455765970,49387.97696790,310313.5491250,44.93835517640,11423534163.3000,67.07975919690,21753583883.500,35.22582417
47,TN,013,47013,State Senate District 13,900584347.5410,256036.2094220,17.26359002620,16931.18847870,106381.7048260,41.54947656280,1202117972.9600,74.91646974740,2336936730.190,38.53695891
47,TN,014,47014,State Senate District 14,4735580171.0300,511499.4759060,22.74533326330,38825.03391480,243944.6765930,47.69206775060,5891498606.2800,80.37989122130,12805492282.600,36.98085217
47,TN,015,47015,State Senate District 15,6806271664.4200,569690.6857280,26.35363573820,46545.73437820,292455.2273300,51.33579232670,8507587213.9000,80.00237309700,16302741135.600,41.749247
47,TN,016,47016,State Senate District 16,7402938226.6300,465628.2704850,42.90767096800,48543.07792810,305004.8963760,65.50394718480,8437918852.3300,87.73417185190,13892633277.100,53.28678933
47,TN,017,47017,State Senate District 17,5361428430.7800,645416.8845580,16.17369931420,41310.98056310,259564.3268540,40.21653803370,8806181254.4500,60.88255823800,14575294027.600,36.78435866
47,TN,018,47018,State Senate District 18,1787209847.3800,335947.6277490,19.89948735820,23851.35307740,149862.3446290,44.60884145340,2872911279.2100,62.20901634910,4517552074.110,39.56146643
47,TN,019,47019,State Senate District 19,290187384.3470,168022.0349750,12.91681812400,9610.91001439,60387.0775842,35.93997513080,496495914.2670,58.44708405620,988497596.603,29.35640768
47,TN,020,47020,State Senate District 20,730947217.5430,297307.1333600,10.39165824590,15253.45607230,95840.2101244,32.23609505810,1403377770.2200,52.08485078320,2368907113.940,30.85588343
47,TN,021,47021,State Senate District 21,262284766.2130,250767.3942980,5.24131703188,9137.17158645,57410.4937686,22.89392284400,607383463.7940,43.18273081960,1044714879.910,25.10587063
47,TN,022,47022,State Senate District 22,3221471026.3200,284589.2163370,49.98352115950,32022.28820480,201201.8008030,70.69902485860,3705454143.7100,86.93862888000,6012013151.650,53.58389852
47,TN,023,47023,State Senate District 23,1511948912.6500,205545.1894050,44.97094153160,21937.83701310,137839.3787640,67.06037692390,1646051203.2400,91.85309118420,2660159204.980,56.83678292
47,TN,024,47024,State Senate District 24,8729987466.6000,451991.6354840,53.69852067940,52714.73858480,331216.1911810,73.27927447740,9641826903.4500,90.54287692590,15871991702.800,55.00246995
47,TN,025,47025,State Senate District 25,6330371611.6900,536132.8757570,27.67539475300,44888.99162640,282045.6144070,52.60740893920,8767810276.7700,72.20014361470,18381560998.100,34.43870525
47,TN,026,47026,State Senate District 26,10948690297.1000,607407.2747200,37.29165779750,59034.56026810,370924.7683850,61.06689594000,13554677362.1000,80.77425972320,23539443319.000,46.51210374
47,TN,027,47027,State Senate District 27,5315599008.6600,683995.1014350,14.27761694450,41134.03875900,258452.5696500,37.78573400710,9739391978.4500,54.57834555200,15362542914.700,34.60103603
47,TN,028,47028,State Senate District 28,8510068750.4700,525780.4248260,38.68421068080,52046.53017670,327017.7174760,62.19663228890,10119646853.4000,84.09452299820,15140543974.800,56.20715322
47,TN,029,47029,State Senate District 29,785824947.7340,235652.7717290,17.78239303450,15815.69034070,99372.8292349,42.16917480150,1347901107.1500,58.29989630290,3152293760.640,24.92867123
47,TN,030,47030,State Senate District 30,208957622.5740,118160.3639910,18.80719707040,8155.57068758,51242.9186328,43.36726538580,337562222.7250,61.90195718200,567112162.396,36.84590746
47,TN,031,47031,State Senate District 31,262532992.6810,125299.2074980,21.01341986340,9141.49427642,57437.6540077,45.84039688250,349843722.7410,75.04293363450,595675912.307,44.07312555
47,TN,032,47032,State Senate District 32,1779240966.7300,391028.2679760,14.62271306810,23798.11900110,149527.8653450,38.23965620670,3053570016.0600,58.26756738420,4767450586.300,37.32059587
47,TN,033,47033,State Senate District 33,222509273.2540,85899.0075531,37.89494840580,8415.87554977,52878.4609368,61.55887296380,267136271.9680,83.29429456160,484597733.537,45.91628434
48,TX,001,48001,State Senate District 1,27622382319.2000,1140248.4544100,26.69756451910,93768.25048410,589162.7960770,51.66968600560,32851193113.4000,84.08334584330,57808536098.100,47.7825321
48,TX,002,48002,State Senate District 2,13241133275.8000,783147.4194390,27.12986368480,64921.39236060,407912.7940520,52.08633571750,17673342810.5000,74.92149854040,28121265525.900,47.0858371
48,TX,003,48003,State Senate District 3,42127000525.4000,1710228.8072000,18.09929257380,115799.18855100,727587.1455200,42.54326336080,56204505988.6000,74.95306610100,109663005830.000,38.41496064
48,TX,004,48004,State Senate District 4,8288504733.7800,828451.3795350,15.17580145710,51364.53277250,322732.6050260,38.95613104140,15002075079.7000,55.24905514570,35581694325.800,23.2942947
48,TX,005,48005,State Senate District 5,22258584611.8000,1149553.5981200,21.16647761940,84173.23516980,528875.5877540,46.00704035190,33297017498.8000,66.84858369850,49628586720.200,44.85032938
48,TX,006,48006,State Senate District 6,740519761.0200,360662.4317880,7.15392423335,15353.01142930,96465.7343523,26.74682080810,1436500290.8500,51.55026878430,2797754902.840,26.46835719
48,TX,007,48007,State Senate District 7,931731433.3850,250121.2966770,18.71539086090,17221.48591220,108205.6958540,43.26128853940,1489344562.8800,62.55983045210,1902658421.260,48.96997921
48,TX,008,48008,State Senate District 8,812142017.5010,172077.8202150,34.46606360700,16078.34106840,101023.1110340,58.70780493840,999708352.2880,81.23789459620,1529943973.860,53.08312143
48,TX,009,48009,State Senate District 9,702406899.7650,275813.8547730,11.60288826860,14952.70039730,93950.5080823,34.06301259220,1078465533.0900,65.13021308640,1664997592.410,42.18666159
48,TX,010,48010,State Senate District 10,1065635769.1100,278662.1387230,17.24496649070,18417.45603740,115720.1914250,41.52705923930,1604712227.3100,66.40665852570,2837084740.060,37.56094254
48,TX,011,48011,State Senate District 11,4038317636.6500,450927.1946870,24.95727230060,35852.99866200,225270.8441330,49.95725402840,5446779418.1000,74.14138386490,8155325020.290,49.51755603
48,TX,012,48012,State Senate District 12,1988444731.9200,346611.7343360,20.79871475490,25158.34157740,158074.3886320,45.60560793900,3024491386.3700,65.74476425630,5610862767.160,35.4391974
48,TX,013,48013,State Senate District 13,548446493.2850,229372.7762780,13.09965984900,13212.72448490,83017.9262290,36.19345223790,1036217604.7000,52.92773359550,2238775379.690,24.49761143
48,TX,014,48014,State Senate District 14,4026340920.7200,491106.9401320,20.97818443140,35799.79333400,224936.5454800,45.80194802780,5019691904.4600,80.21091727050,11095010820.400,36.28965294
48,TX,015,48015,State Senate District 15,864858797.3340,366814.0677580,8.07723537316,16591.96606420,104250.3093350,28.42047742940,1695154192.2800,51.01947665130,3261425221.890,26.51781778
48,TX,016,48016,State Senate District 16,644575582.1240,196042.8410100,21.07566911130,14323.92940110,89999.8267344,45.90824447900,880765953.6690,73.18352616140,1866832412.850,34.52776895
48,TX,017,48017,State Senate District 17,3230298395.9000,650168.7413960,9.60284607019,32066.13140450,201477.2755180,30.98845925530,5742693390.1400,56.25058098080,12757596876.500,25.32058684
